Title,Year,Runtime_minutes,Genres,Rating,Votes,IMDB_Link
Sugarland,(2019– ),,"Animation, Comedy, Family            ",9.9,"33,276",https://www.imdb.com/title/tt4057372/
The Chosen,(2017– ),54.0,"Drama, History            ",9.5,"23,988",https://www.imdb.com/title/tt9471404/
Planet Earth II,(2016),298.0,Documentary            ,9.5,"110,279",https://www.imdb.com/title/tt5491994/
Chernobyl,(2019),330.0,"Drama, History, Thriller            ",9.4,"653,836",https://www.imdb.com/title/tt7366338/
The Filthy Frank Show,(2011–2017),12.0,"Comedy, Fantasy, Music            ",9.4,"32,908",https://www.imdb.com/title/tt4202274/
Breaking Bad,(2008–2013),49.0,"Crime, Drama, Thriller            ",9.4,"1,666,784",https://www.imdb.com/title/tt0903747/
Planet Earth,(2006),538.0,Documentary            ,9.4,"178,210",https://www.imdb.com/title/tt0795176/
Band of Brothers,(2001),594.0,"Drama, History, War            ",9.4,"415,393",https://www.imdb.com/title/tt0185906/
Our Planet,(2019),403.0,Documentary            ,9.3,"40,423",https://www.imdb.com/title/tt9253866/
Blue Planet II,(2017),364.0,Documentary            ,9.3,"38,607",https://www.imdb.com/title/tt6769208/
Cosmos: A Spacetime Odyssey,(2014),557.0,Documentary            ,9.3,"118,283",https://www.imdb.com/title/tt2395695/
Avatar: The Last Airbender,(2005–2008),23.0,"Animation, Action, Adventure            ",9.3,"287,372",https://www.imdb.com/title/tt0417299/
The Wire,(2002–2008),59.0,"Crime, Drama, Thriller            ",9.3,"317,425",https://www.imdb.com/title/tt0306414/
Rick and Morty,(2013– ),23.0,"Animation, Adventure, Comedy            ",9.2,"460,084",https://www.imdb.com/title/tt2861424/
Game of Thrones,(2011–2019),57.0,"Action, Adventure, Drama            ",9.2,"1,951,001",https://www.imdb.com/title/tt0944947/
The Sopranos,(1999–2007),55.0,"Crime, Drama            ",9.2,"361,693",https://www.imdb.com/title/tt0141842/
The World at War,(1973–1974),52.0,"Documentary, History, War            ",9.2,"24,767",https://www.imdb.com/title/tt0071075/
The Beatles: Get Back,(2021),468.0,"Documentary, Music            ",9.1,"17,266",https://www.imdb.com/title/tt9735318/
